happy,sad,angry,fear,neutral,surprise,disgust,label
50.0,0.0,0.0,0.0,50.0,0.0,0.0,Positive
15.384615384615385,0.0,0.0,0.0,84.61538461538461,0.0,0.0,Positive
57.14285714285714,14.285714285714285,0.0,0.0,28.57142857142857,0.0,0.0,Positive
0.0,100.0,0.0,0.0,0.0,0.0,0.0,Negative
0.0,0.0,12.5,0.0,75.0,12.5,0.0,Positive
0.0,100.0,0.0,0.0,0.0,0.0,0.0,Negative
0.0,100.0,0.0,0.0,0.0,0.0,0.0,Negative
0.0,100.0,0.0,0.0,0.0,0.0,0.0,Negative
11.11111111111111,11.11111111111111,0.0,0.0,77.77777777777779,0.0,0.0,Positive
16.666666666666664,0.0,5.555555555555555,0.0,72.22222222222221,5.555555555555555,0.0,Positive
7.142857142857142,0.0,0.0,0.0,92.85714285714286,0.0,0.0,Positive
9.375,0.0,0.0,0.0,87.5,3.125,0.0,Positive
38.095238095238095,0.0,0.0,0.0,61.904761904761905,0.0,0.0,Positive
73.68421052631578,0.0,0.0,0.0,26.31578947368421,0.0,0.0,Positive
59.375,0.0,0.0,0.0,40.625,0.0,0.0,Positive
66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,Positive
68.75,0.0,0.0,0.0,31.25,0.0,0.0,Positive
24.0,0.0,12.0,0.0,32.0,32.0,0.0,Positive
30.303030303030305,0.0,6.0606060606060606,6.0606060606060606,51.515151515151516,6.0606060606060606,0.0,Positive
21.21212121212121,0.0,0.0,3.0303030303030303,48.484848484848484,27.27272727272727,0.0,Positive
15.789473684210526,0.0,0.0,0.0,84.21052631578947,0.0,0.0,Positive
32.142857142857146,14.285714285714285,3.571428571428571,0.0,50.0,0.0,0.0,Positive
84.375,0.0,0.0,0.0,15.625,0.0,0.0,Positive
44.827586206896555,0.0,0.0,0.0,55.172413793103445,0.0,0.0,Positive
73.07692307692307,0.0,7.6923076923076925,0.0,19.230769230769234,0.0,0.0,Positive
23.333333333333332,16.666666666666664,0.0,3.3333333333333335,53.333333333333336,3.3333333333333335,0.0,Positive
83.33333333333334,6.666666666666667,0.0,0.0,10.0,0.0,0.0,Positive
76.47058823529412,14.705882352941178,0.0,0.0,8.823529411764707,0.0,0.0,Positive
42.857142857142854,20.0,0.0,0.0,37.142857142857146,0.0,0.0,Positive
11.11111111111111,14.814814814814813,0.0,0.0,70.37037037037037,3.7037037037037033,0.0,Positive
0.0,100.0,0.0,0.0,0.0,0.0,0.0,Negative
16.666666666666664,11.11111111111111,0.0,11.11111111111111,55.55555555555556,5.555555555555555,0.0,Little Positive
69.23076923076923,11.538461538461538,0.0,0.0,19.230769230769234,0.0,0.0,Positive
90.625,0.0,0.0,0.0,9.375,0.0,0.0,Positive
92.5925925925926,3.7037037037037033,0.0,0.0,3.7037037037037033,0.0,0.0,Positive
87.5,0.0,0.0,0.0,12.5,0.0,0.0,Positive
86.20689655172413,10.344827586206897,0.0,0.0,3.4482758620689653,0.0,0.0,Positive
83.33333333333334,11.11111111111111,5.555555555555555,0.0,0.0,0.0,0.0,Positive
100.0,0.0,0.0,0.0,0.0,0.0,0.0,Positive
93.33333333333333,3.3333333333333335,0.0,0.0,3.3333333333333335,0.0,0.0,Positive
100.0,0.0,0.0,0.0,0.0,0.0,0.0,Positive
70.58823529411765,29.411764705882355,0.0,0.0,0.0,0.0,0.0,Little Positive
0.0,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,Negative
18.181818181818183,36.36363636363637,0.0,0.0,45.45454545454545,0.0,0.0,Little Positive
43.75,0.0,0.0,6.25,50.0,0.0,0.0,Positive
51.61290322580645,0.0,0.0,6.451612903225806,16.129032258064516,25.806451612903224,0.0,Positive
34.48275862068966,0.0,0.0,0.0,51.724137931034484,13.793103448275861,0.0,Positive
46.42857142857143,3.571428571428571,0.0,3.571428571428571,46.42857142857143,0.0,0.0,Positive
66.66666666666666,0.0,0.0,0.0,30.303030303030305,3.0303030303030303,0.0,Positive
9.67741935483871,0.0,0.0,9.67741935483871,80.64516129032258,0.0,0.0,Positive
3.571428571428571,0.0,0.0,0.0,96.42857142857143,0.0,0.0,Positive
5.0,0.0,0.0,0.0,95.0,0.0,0.0,Positive
9.375,0.0,0.0,6.25,50.0,34.375,0.0,Positive
3.125,0.0,0.0,0.0,96.875,0.0,0.0,Positive
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Positive
0.0,10.344827586206897,0.0,0.0,89.65517241379311,0.0,0.0,Positive
6.451612903225806,41.935483870967744,0.0,12.903225806451612,38.70967741935484,0.0,0.0,Negative
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Positive
12.5,0.0,9.375,0.0,78.125,0.0,0.0,Positive
17.647058823529413,17.647058823529413,0.0,0.0,64.70588235294117,0.0,0.0,Positive
12.903225806451612,0.0,0.0,0.0,87.09677419354838,0.0,0.0,Positive
86.66666666666667,0.0,3.3333333333333335,0.0,10.0,0.0,0.0,Positive
51.61290322580645,0.0,0.0,0.0,48.38709677419355,0.0,0.0,Positive
0.0,0.0,0.0,0.0,100.0,0.0,0.0,Positive
12.121212121212121,0.0,0.0,0.0,87.87878787878788,0.0,0.0,Positive
55.172413793103445,31.03448275862069,0.0,0.0,10.344827586206897,3.4482758620689653,0.0,Little Positive
12.0,0.0,0.0,0.0,84.0,4.0,0.0,Positive
0.0,60.0,0.0,0.0,20.0,20.0,0.0,Negative
9.090909090909092,18.181818181818183,9.090909090909092,4.545454545454546,59.09090909090909,0.0,0.0,Little Positive
3.7037037037037033,0.0,0.0,0.0,96.29629629629629,0.0,0.0,Positive
55.172413793103445,3.4482758620689653,0.0,0.0,41.37931034482759,0.0,0.0,Positive
41.935483870967744,3.225806451612903,3.225806451612903,0.0,51.61290322580645,0.0,0.0,Positive
0.0,25.925925925925924,0.0,0.0,74.07407407407408,0.0,0.0,Little Positive
6.25,0.0,40.625,0.0,53.125,0.0,0.0,Negative
0.0,0.0,89.28571428571429,0.0,10.714285714285714,0.0,0.0,Negative
3.3333333333333335,0.0,63.33333333333333,0.0,33.33333333333333,0.0,0.0,Negative
0.0,0.0,100.0,0.0,0.0,0.0,0.0,Negative
9.67741935483871,0.0,25.806451612903224,0.0,64.51612903225806,0.0,0.0,Little Positive
21.73913043478261,0.0,0.0,0.0,78.26086956521739,0.0,0.0,Positive
0.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,0.0,Positive
11.76470588235294,0.0,0.0,0.0,82.35294117647058,5.88235294117647,0.0,Positive
10.526315789473683,0.0,0.0,0.0,84.21052631578947,5.263157894736842,0.0,Positive
20.0,0.0,10.0,0.0,70.0,0.0,0.0,Positive
25.806451612903224,22.58064516129032,29.03225806451613,22.58064516129032,0.0,0.0,0.0,Negative
9.67741935483871,9.67741935483871,54.83870967741935,25.806451612903224,0.0,0.0,0.0,Negative
3.225806451612903,0.0,96.7741935483871,0.0,0.0,0.0,0.0,Negative
3.4482758620689653,0.0,96.55172413793103,0.0,0.0,0.0,0.0,Negative
18.75,0.0,81.25,0.0,0.0,0.0,0.0,Negative
12.5,0.0,87.5,0.0,0.0,0.0,0.0,Negative
55.00000000000001,0.0,25.0,0.0,20.0,0.0,0.0,Little Positive
47.368421052631575,0.0,0.0,0.0,52.63157894736842,0.0,0.0,Positive
23.52941176470588,0.0,0.0,0.0,76.47058823529412,0.0,0.0,Positive
93.75,0.0,0.0,0.0,6.25,0.0,0.0,Positive
83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,Positive
27.77777777777778,5.555555555555555,0.0,0.0,61.111111111111114,5.555555555555555,0.0,Positive
78.94736842105263,0.0,0.0,0.0,21.052631578947366,0.0,0.0,Positive
63.1578947368421,0.0,0.0,0.0,36.84210526315789,0.0,0.0,Positive
